index:ID,rank,src,name,movie_en,year,:LABEL
10056,57,http://movie.mtime.com/13700/,死亡诗社,Dead Poets Society,1989,电影表
10057,58,http://movie.mtime.com/10895/,活着,To Live,1994,电影表
10058,59,http://movie.mtime.com/232932/,摔跤吧！爸爸,Dangal,2016,电影表
10059,60,http://movie.mtime.com/12502/,幽灵公主,Princess Mononoke,1997,电影表
10060,61,http://movie.mtime.com/156495/,无法触碰,Intouchables,2011,电影表
10061,62,http://movie.mtime.com/15431/,梦之安魂曲,Requiem for a Dream,2000,电影表
10062,63,http://movie.mtime.com/45538/,被嫌弃的松子的一生,Memories of Matsuko,2006,电影表
10063,64,http://movie.mtime.com/143329/,一次别离,A Separation,2011,电影表
10064,65,http://movie.mtime.com/142064/,熔炉,Silenced,2011,电影表
10065,66,http://movie.mtime.com/11249/,罗生门,Rashômon,1950,电影表
10066,67,http://movie.mtime.com/13353/,与狼共舞,Dances with Wolves,1990,电影表
10067,68,http://movie.mtime.com/11072/,卡萨布兰卡,Casablanca,1942,电影表
10068,69,http://movie.mtime.com/13877/,惊魂记,Psycho,1960,电影表
10069,70,http://movie.mtime.com/10834/,虎口脱险,La Grande vadrouille,1966,电影表
10070,71,http://movie.mtime.com/11329/,美丽人生,La Vita e bella,1997,电影表
10071,72,http://movie.mtime.com/106313/,让子弹飞,Let The Bullets Fly,2010,电影表
10072,73,http://movie.mtime.com/48615/,当幸福来敲门,The Pursuit of Happyness,2006,电影表
10073,74,http://movie.mtime.com/12906/,老男孩,Old Boy,2003,电影表
10074,75,http://movie.mtime.com/10957/,剪刀手爱德华,Edward Scissorhands,1990,电影表
10075,76,http://movie.mtime.com/52414/,本杰明·巴顿奇事,The Curious Case of Benjamin Button,2008,电影表
10076,77,http://movie.mtime.com/11526/,七宗罪,Se7en,1995,电影表
10077,78,http://movie.mtime.com/12493/,勇敢的心,Braveheart,1995,电影表
10078,79,http://movie.mtime.com/12142/,无间道,Infernal Affairs,2002,电影表
10079,80,http://movie.mtime.com/10368/,楚门的世界,The Truman Show,1998,电影表
10080,81,http://movie.mtime.com/78592/,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,2011,电影表
10081,82,http://movie.mtime.com/108756/,黑天鹅,Black Swan,2010,电影表
10082,83,http://movie.mtime.com/51236/,驯龙高手,How to Train Your Dragon,2010,电影表
10083,84,http://movie.mtime.com/10429/,大鱼,Big Fish,2003,电影表
10084,85,http://movie.mtime.com/10339/,沉默的羔羊,The Silence of the Lambs,1991,电影表
10085,86,http://movie.mtime.com/24803/,V字仇杀队,V for Vendetta,2005,电影表
10086,87,http://movie.mtime.com/11332/,美丽心灵,A Beautiful Mind,2001,电影表
10087,88,http://movie.mtime.com/148531/,被解救的姜戈,Django Unchained,2012,电影表
10088,89,http://movie.mtime.com/122493/,告白,Confessions,2010,电影表
10089,90,http://movie.mtime.com/13594/,燃情岁月,Legends of the Fall,1994,电影表
10090,91,http://movie.mtime.com/149859/,无敌破坏王,Wreck-It Ralph,2012,电影表
10091,92,http://movie.mtime.com/12383/,阳光灿烂的日子,In the Heat of the Sun,1994,电影表
10092,93,http://movie.mtime.com/11717/,上帝之城,City of God,2002,电影表
10093,94,http://movie.mtime.com/41005/,窃听风暴,Das Leben der Anderen,2006,电影表
10094,95,http://movie.mtime.com/52841/,荒野生存,Into the Wild,2007,电影表
10095,96,http://movie.mtime.com/10380/,春光乍泄,Happy Together,1997,电影表
10096,97,http://movie.mtime.com/11230/,绿里奇迹,The Green Mile,1999,电影表
10097,98,http://movie.mtime.com/10246/,碧海蓝天,Le Grand Bleu,1988,电影表
10098,99,http://movie.mtime.com/10364/,出租车司机,Taxi Driver,1976,电影表
10099,100,http://movie.mtime.com/15783/,爱在日落黄昏时,Before Sunset,2004,电影表
